year,part,level,id,median,q025,q975,n,ecosystem
2024,E,ECT,B2,0.3355712720281149,0.32460977891630877,0.34745562079249853,1000,forest
2024,E,ECT,B3,0.31453214237866695,0.2514670105655432,0.3946725736933694,1000,forest
2024,E,ECT,C1,0.4715780144920728,0.4636631965284095,0.480704888392598,1000,forest
2024,N,ECT,A1,0.7640731517011617,0.7567880722684484,0.7712482824173191,1000,forest
2024,N,ECT,A2,0.6273903390305196,0.6055405899271972,0.6461079513245896,1000,forest
2024,N,ECT,B1,0.6428870550610162,0.622570929505214,0.6660106574550336,1000,forest
2024,N,ECT,B2,0.47355943657019595,0.4465197923302637,0.4998670908975181,1000,forest
2024,N,ECT,B3,0.19961554773924375,0.13668731238527732,0.30189350399744047,1000,forest
2024,N,ECT,C1,0.5124089255561022,0.49526836272095814,0.531865913138441,1000,forest
2024,Norway,ECT,A1,0.7682132431447579,0.7642748192199083,0.7718357987927154,1000,forest
2024,Norway,ECT,A2,0.6381178765380575,0.6253406216218801,0.6516218379885809,1000,forest
2024,Norway,ECT,B1,0.6165652007973507,0.5957980153850807,0.6365986337692675,1000,forest
2024,Norway,ECT,B2,0.3832332490558328,0.37398031773396156,0.39185429546234746,1000,forest
2024,Norway,ECT,B3,0.2905785583275806,0.254825290771852,0.3282645729955957,1000,forest
2024,Norway,ECT,C1,0.502861619634267,0.49673943492892925,0.509566092737341,1000,forest
2024,S,ECT,A1,0.7791646809979413,0.7690949228977387,0.7898316190023381,1000,forest
2024,S,ECT,A2,0.6512896911109092,0.6209026789099564,0.6850030708193281,1000,forest
2024,S,ECT,B1,0.6475470546122675,0.6154278328741916,0.6864784060567581,1000,forest
2024,S,ECT,B2,0.3831300142172792,0.3655015080069714,0.4016612126906564,1000,forest
2024,S,ECT,B3,0.4201222824667078,0.3331760506870569,0.4947369305300425,1000,forest
2024,S,ECT,C1,0.5203187420202433,0.5067987893018604,0.5343125349504706,1000,forest
2024,W,ECT,A1,0.7777767863158467,0.7660414121897289,0.7897938402846489,1000,forest
2024,W,ECT,A2,0.6295009488709176,0.589783960222302,0.6666008521129343,1000,forest
2024,W,ECT,B1,0.619514946910827,0.5686507405063859,0.6642360966155161,1000,forest
2024,W,ECT,B2,0.3774165904573752,0.3531543319967767,0.40151802252852964,1000,forest
2024,W,ECT,B3,0.17123320355173877,0.13856956051354635,0.243150301356745,1000,forest
2024,W,ECT,C1,0.4629846842298925,0.4485204066774957,0.4809608189864767,1000,forest
2019,C,ECT,A1,0.6383643674926037,0.4897312603689459,0.6648975909615562,1000,mountain
2019,C,ECT,B1,0.514749263574729,0.44225372934298224,0.5744672586786297,1000,mountain
2019,C,ECT,B2,0.737392202357218,0.7098866357562837,0.76176058705346406,1000,mountain
2019,C,ECT,B3,0.5250411156532635,0.5132985347233918,0.531521184519911,1000,mountain
2019,E,ECT,A1,0.6108424948470115,0.4209188970783992,0.6243578400048583,1000,mountain
2019,E,ECT,B1,0.4724751643109891,0.4122946624068184,0.5341751882833254,1000,mountain
2019,E,ECT,B2,0.740211811158507,0.7211615243873521,0.75900436169117,1000,mountain
2019,E,ECT,B3,0.5516782720094491,0.5186153461710158,0.5628299482755715,1000,mountain
2019,N,ECT,A1,0.7137368406648523,0.5257526864579655,0.7688749775926726,1000,mountain
2019,N,ECT,B1,0.4713414427351327,0.42443169425746086,0.523410238104706,1000,mountain
2019,N,ECT,B3,0.518319979905811,0.5071347940633908,0.5206286170590265,1000,mountain
2019,Norway,ECT,A1,0.7023603715048622,0.5986691106104385,0.7400691980199319,1000,mountain
2019,Norway,ECT,B1,0.4743746071666089,0.4455275779991054,0.5044727644303645,1000,mountain
2019,Norway,ECT,B2,0.748640438068074,0.7357879211774181,0.759705935900954,1000,mountain
2019,Norway,ECT,B3,0.5468050781564884,0.537122445327098,0.5507025317729197,1000,mountain
2019,S,ECT,A1,0.5112588966414768,0.20580908562551925,0.5490863710707105,1000,mountain
2019,S,ECT,B1,0.4526080988025012,0.38404217301122545,0.5251651662614377,1000,mountain
2019,S,ECT,B2,0.859429841544393,0.819281714034722,0.898151187353717,1000,mountain
2019,S,ECT,B3,0.6712131951484916,0.6285202441681115,0.7082430086765561,1000,mountain
2019,W,ECT,A1,0.8146218764615468,0.5358745952097287,0.8434212605822375,1000,mountain
2019,W,ECT,B1,0.4531077739979479,0.3954523671375997,0.5140915952145284,1000,mountain
2019,W,ECT,B2,0.7091924678547235,0.689257401671432,0.7278219335628336,1000,mountain
2019,W,ECT,B3,0.6116896310978076,0.5885206210717311,0.6300240915332767,1000,mountain
2024,C,ECT,A1,0.6380659062670806,0.5048510559118417,0.664841033655217,1000,mountain
2024,C,ECT,B1,0.4917756602752301,0.42590918905807834,0.5548077030154934,1000,mountain
2024,C,ECT,B2,0.717323012358358,0.69331064136115494,0.74330610509256,1000,mountain
2024,C,ECT,B3,0.559607881523712,0.5479148027680186,0.5700318519082463,1000,mountain
2024,E,ECT,A1,0.6102381234599381,0.43285701379023767,0.6245300408285842,1000,mountain
2024,E,ECT,B1,0.4417089796684629,0.3951061893647693,0.4769530450440233,1000,mountain
2024,E,ECT,B2,0.7210092060652185,0.7011564485746988,0.738430220534507,1000,mountain
2024,E,ECT,B3,0.5714317615039853,0.5450743962015872,0.5788745227153137,1000,mountain
2024,N,ECT,A1,0.7168332909770088,0.4918495957062106,0.769884180486421,1000,mountain
2024,N,ECT,B1,0.4917364700633712,0.43849111470314783,0.5561028349678736,1000,mountain
2024,N,ECT,B3,0.690624976958421,0.6650490646645758,0.7094949618641628,1000,mountain
2024,Norway,ECT,A1,0.699044574396376,0.5982657832712116,0.7411172055498643,1000,mountain
2024,Norway,ECT,B1,0.47228999187421555,0.44487962446041945,0.5030332583217577,1000,mountain
2024,Norway,ECT,B2,0.726217005057864,0.7149712835049863,0.7373413463490522,1000,mountain
2024,Norway,ECT,B3,0.639733065531942,0.6264299308237377,0.650066585239671,1000,mountain
2024,S,ECT,A1,0.5087553794317344,0.2208701764216603,0.5492440062276188,1000,mountain
2024,S,ECT,B1,0.4490881484083673,0.39270295194936083,0.5087762004951982,1000,mountain
2024,S,ECT,B2,0.8866281273163095,0.847809779577234,0.9176235495202404,1000,mountain
2024,S,ECT,B3,0.6993946404517518,0.6702720198111529,0.7252673341745095,1000,mountain
2024,W,ECT,A1,0.81382302417806,0.5086608462110991,0.8441686672378672,1000,mountain
2024,W,ECT,B1,0.44191258186527405,0.39253899436204526,0.4892694803059732,1000,mountain
2024,W,ECT,B2,0.655944114656385,0.6380473351403572,0.6749837104324415,1000,mountain
2024,W,ECT,B3,0.5738368403773357,0.5627260727869697,0.5813960204516272,1000,mountain
