"year","id","region","arealFjell","mean_snow","reference_snow","reference_mean_snow","n_reference_years","relative_snow","condition_score"
1970,5,"Sørlandet",7085.62001515692,131.279336949545,155.899339572004,156.040950888283,30,0.842077569474963,0.842077569474963
1971,1,"Nord-Norge",59822.7350921747,153.675426589992,142.921073581004,143.744102075349,30,1.07524679698752,1
1971,2,"Midt-Norge",18294.6375230299,161.299117969402,156.549324576585,160.910013390366,30,1.03034055500184,1
1971,3,"Østlandet",19004.1775274179,90.8629397238077,104.273160477513,104.203290990937,30,0.87139336055133,0.87139336055133
1971,4,"Vestlandet",20329.6250265664,244.505499216548,247.243754336309,247.789646322772,30,0.988924876476207,0.988924876476207
1971,5,"Sørlandet",7085.62001515692,176.413841179814,155.899339572004,156.040950888283,30,1.13158812387614,1
1972,1,"Nord-Norge",59822.7350921747,145.512214973429,142.921073581004,143.744102075349,30,1.01812987635414,1
1972,2,"Midt-Norge",18294.6375230299,159.902814944292,156.549324576585,160.910013390366,30,1.02142130205146,1
1972,3,"Østlandet",19004.1775274179,97.4899121636949,104.273160477513,104.203290990937,30,0.934947322179992,0.934947322179992
1972,4,"Vestlandet",20329.6250265664,246.819705073355,247.243754336309,247.789646322772,30,0.99828489393355,0.99828489393355
1972,5,"Sørlandet",7085.62001515692,145.166567043325,155.899339572004,156.040950888283,30,0.93115575371811,0.93115575371811
1973,1,"Nord-Norge",59822.7350921747,165.996792769882,142.921073581004,143.744102075349,30,1.16145777953312,1
1973,2,"Midt-Norge",18294.6375230299,171.466336502056,156.549324576585,160.910013390366,30,1.09528633844839,1
1973,3,"Østlandet",19004.1775274179,84.9132076244675,104.273160477513,104.203290990937,30,0.814334266225486,0.814334266225486
1973,4,"Vestlandet",20329.6250265664,289.711823430509,247.243754336309,247.789646322772,30,1.17176599347555,1
1973,5,"Sørlandet",7085.62001515692,155.169269325027,155.899339572004,156.040950888283,30,0.995317040797085,0.995317040797085
1974,1,"Nord-Norge",59822.7350921747,162.94035903757,142.921073581004,143.744102075349,30,1.1400723137251,1
1974,2,"Midt-Norge",18294.6375230299,185.633314252935,156.549324576585,160.910013390366,30,1.18578163626712,1
1974,3,"Østlandet",19004.1775274179,94.6061057655698,104.273160477513,104.203290990937,30,0.907291054882455,0.907291054882455
1974,4,"Vestlandet",20329.6250265664,275.447037357732,247.243754336309,247.789646322772,30,1.11407076023874,1
1974,5,"Sørlandet",7085.62001515692,168.401541178318,155.899339572004,156.040950888283,30,1.08019406394303,1
