"period","region","sampled_mean"
"2010-2014","1",0.455566992511005
"2010-2014","1",0.457290368961425
"2010-2014","1",0.477228725626752
"2010-2014","1",0.469165451953943
"2010-2014","1",0.464301813978859
"2010-2014","1",0.442696050144286
"2010-2014","1",0.461020168013758
"2010-2014","1",0.466329616894904
"2010-2014","1",0.472293990640872
"2010-2014","1",0.461028137482114
"2010-2014","1",0.470827753304785
"2010-2014","1",0.45143470903177
"2010-2014","1",0.465034939903803
"2010-2014","1",0.453042342292245
"2010-2014","1",0.469966734202256
"2010-2014","1",0.466268436201094
"2010-2014","1",0.463236904257768
"2010-2014","1",0.454572434525844
"2010-2014","1",0.467577437603323
"2010-2014","1",0.469680173323717
"2010-2014","1",0.467536698124838
"2010-2014","1",0.45664833438344
"2010-2014","1",0.462252835353133
"2010-2014","1",0.455480658815917
"2010-2014","1",0.459690855788472
"2010-2014","1",0.461775177720714
"2010-2014","1",0.453969735767698
"2010-2014","1",0.453898656131123
"2010-2014","1",0.47558342242013
"2010-2014","1",0.459380236096327
"2010-2014","1",0.461652615746868
"2010-2014","1",0.458523745098817
"2010-2014","1",0.469823603016883
"2010-2014","1",0.464048566634726
"2010-2014","1",0.464062043547819
"2010-2014","1",0.469969220997757
"2010-2014","1",0.463559828432068
"2010-2014","1",0.449791730744768
"2010-2014","1",0.453299760184275
"2010-2014","1",0.464491875324421
"2010-2014","1",0.45695224378627
"2010-2014","1",0.461605916600554
"2010-2014","1",0.470285283833546
"2010-2014","1",0.451428845914743
"2010-2014","1",0.467398748069153
"2010-2014","1",0.458683039837606
"2010-2014","1",0.460393363945511
"2010-2014","1",0.461399462003237
"2010-2014","1",0.463540622801821
"2010-2014","1",0.453814085514307
"2010-2014","1",0.457940292244951
"2010-2014","1",0.45605438750874
"2010-2014","1",0.453617533503548
"2010-2014","1",0.46969314049964
"2010-2014","1",0.462019834667544
"2010-2014","1",0.464090782048424
"2010-2014","1",0.467492129639294
"2010-2014","1",0.476075013831014
"2010-2014","1",0.468133186243487
"2010-2014","1",0.466695870267882
"2010-2014","1",0.456419954213103
"2010-2014","1",0.466360768452153
"2010-2014","1",0.451547698721588
"2010-2014","1",0.462535597746298
"2010-2014","1",0.455777630427748
"2010-2014","1",0.466842333839096
"2010-2014","1",0.463095326458465
"2010-2014","1",0.442012944410413
"2010-2014","1",0.459385153106938
"2010-2014","1",0.462789277647775
"2010-2014","1",0.477126794465531
"2010-2014","1",0.471555894876538
"2010-2014","1",0.473421128405875
"2010-2014","1",0.460451396122761
"2010-2014","1",0.475040434702359
"2010-2014","1",0.45066035036954
"2010-2014","1",0.473299301608094
"2010-2014","1",0.478471389971347
"2010-2014","1",0.479730144098837
"2010-2014","1",0.461932369625267
"2010-2014","1",0.465501519420618
"2010-2014","1",0.460308136658266
"2010-2014","1",0.44335295526243
"2010-2014","1",0.468652714536949
"2010-2014","1",0.460074452982019
"2010-2014","1",0.457799079704703
"2010-2014","1",0.46414376501139
"2010-2014","1",0.466019775814831
"2010-2014","1",0.470541685604485
"2010-2014","1",0.464975623360093
"2010-2014","1",0.477944090568074
"2010-2014","1",0.459529519871304
"2010-2014","1",0.47409720100251
"2010-2014","1",0.476868318882169
"2010-2014","1",0.46119179546723
"2010-2014","1",0.4608187211125
"2010-2014","1",0.46153358417203
"2010-2014","1",0.469567995679883
"2010-2014","1",0.47824543886466
"2010-2014","1",0.469590956456862
"2010-2014","1",0.465767112153617
"2010-2014","1",0.454752201487859
"2010-2014","1",0.467818758962032
"2010-2014","1",0.473053535256569
"2010-2014","1",0.461805382709904
"2010-2014","1",0.457426079252724
"2010-2014","1",0.468400838532754
"2010-2014","1",0.464126969656968
"2010-2014","1",0.451028850922983
"2010-2014","1",0.46985208018508
"2010-2014","1",0.468220651004521
"2010-2014","1",0.461797164212
"2010-2014","1",0.45934283517655
"2010-2014","1",0.468002192283042
"2010-2014","1",0.461963220895352
"2010-2014","1",0.49857329853322
"2010-2014","1",0.477626482141095
"2010-2014","1",0.464697716798166
"2010-2014","1",0.466303406193455
"2010-2014","1",0.475125361605654
"2010-2014","1",0.468780308363073
"2010-2014","1",0.44843496625572
"2010-2014","1",0.466152478357525
"2010-2014","1",0.461349818031406
"2010-2014","1",0.45586191261383
"2010-2014","1",0.478311392160762
"2010-2014","1",0.462584928333301
"2010-2014","1",0.46788022049075
"2010-2014","1",0.464089440497171
"2010-2014","1",0.461528328860635
"2010-2014","1",0.467452820331647
"2010-2014","1",0.463610966734262
"2010-2014","1",0.46345021430553
"2010-2014","1",0.469889214496017
"2010-2014","1",0.472992931124085
"2010-2014","1",0.456527133752074
"2010-2014","1",0.477417660640323
"2010-2014","1",0.462795179794565
"2010-2014","1",0.437246103848261
"2010-2014","1",0.469319609180465
"2010-2014","1",0.456680819999298
"2010-2014","1",0.45352931693095
"2010-2014","1",0.460166659640351
"2010-2014","1",0.446113891687583
"2010-2014","1",0.468497223043079
"2010-2014","1",0.462407925217284
"2010-2014","1",0.461060836771892
"2010-2014","1",0.446816886710064
"2010-2014","1",0.452319130171184
"2010-2014","1",0.456372746559042
"2010-2014","1",0.463878283364922
"2010-2014","1",0.470621170460981
"2010-2014","1",0.478021421595783
"2010-2014","1",0.45178244423891
"2010-2014","1",0.476524670751435
"2010-2014","1",0.453316967551139
"2010-2014","1",0.471814922813447
"2010-2014","1",0.458168435073962
"2010-2014","1",0.470166033007832
"2010-2014","1",0.473889422922674
"2010-2014","1",0.452606628145554
"2010-2014","1",0.458791332756435
"2010-2014","1",0.459751363248924
"2010-2014","1",0.472525241847178
"2010-2014","1",0.444859850049756
"2010-2014","1",0.471924690901336
"2010-2014","1",0.450259853224849
"2010-2014","1",0.457171338406556
"2010-2014","1",0.453221981922542
"2010-2014","1",0.459393317372728
"2010-2014","1",0.464299557171097
"2010-2014","1",0.463262481733519
"2010-2014","1",0.459207277059315
"2010-2014","1",0.470851545624043
"2010-2014","1",0.458500164877058
"2010-2014","1",0.471127719871487
"2010-2014","1",0.464983029676136
"2010-2014","1",0.453978610087927
"2010-2014","1",0.47177144921337
"2010-2014","1",0.459495050550918
"2010-2014","1",0.463980189547927
"2010-2014","1",0.4606154320542
"2010-2014","1",0.460143281846593
"2010-2014","1",0.461878698294373
"2010-2014","1",0.470152736009545
"2010-2014","1",0.459121420338669
"2010-2014","1",0.453381613888219
"2010-2014","1",0.484792617526036
"2010-2014","1",0.458950925169423
"2010-2014","1",0.469738960917881
"2010-2014","1",0.462227415037212
"2010-2014","1",0.455652675726419
"2010-2014","1",0.468330279076736
"2010-2014","1",0.457656732413039
"2010-2014","1",0.44741355617614
"2010-2014","1",0.458609303562179
"2010-2014","1",0.445079585269536
"2010-2014","1",0.46590465461758
"2010-2014","1",0.466124654850242
"2010-2014","1",0.469007912755143
"2010-2014","1",0.466090315590007
"2010-2014","1",0.463572159655367
"2010-2014","1",0.474473653654493
"2010-2014","1",0.481929136932102
"2010-2014","1",0.469829778981211
"2010-2014","1",0.452737658792172
"2010-2014","1",0.451168886744281
"2010-2014","1",0.460196036053951
"2010-2014","1",0.470598425954659
"2010-2014","1",0.463728390505689
"2010-2014","1",0.475676712137605
"2010-2014","1",0.461562798805954
"2010-2014","1",0.44553338762019
"2010-2014","1",0.461980011606921
"2010-2014","1",0.467861895098288
"2010-2014","1",0.462912215208954
"2010-2014","1",0.473292275186496
"2010-2014","1",0.466747787229895
"2010-2014","1",0.469653486901533
"2010-2014","1",0.463393899387057
"2010-2014","1",0.465003774154461
"2010-2014","1",0.473511548329092
"2010-2014","1",0.462494034450588
"2010-2014","1",0.459232131294551
"2010-2014","1",0.466804812335068
"2010-2014","1",0.470222066729467
"2010-2014","1",0.462145199259588
"2010-2014","1",0.474810948068083
"2010-2014","1",0.474724593205056
"2010-2014","1",0.46147702023079
"2010-2014","1",0.467023257619095
"2010-2014","1",0.481146915353694
"2010-2014","1",0.46588993232237
"2010-2014","1",0.461848551660724
"2010-2014","1",0.466734844902763
"2010-2014","1",0.464340766117377
"2010-2014","1",0.451494372760143
"2010-2014","1",0.467549277487063
"2010-2014","1",0.47298318279856
