rand_point,DSM_max,DSM_median,meta_max,geo_type,tilstnd,id,slope,dem,meta_media,hvdksys,year,month,LiD1,meta1,differ,metamedian,lidmedian,metamax,lidmax
17944,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.357238769531250,0.439064711332321,-0.08,0.443372994661331,0.136230468750000,0.824016928672791,0.470794677734375
17945,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.007202148437500,0.416358351707458,-0.41,0.416206270456314,0.016067504882812,0.425413072109222,0.201385498046875
17946,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.054565429687500,0.415562719106674,-0.36,0.412859573960304,0.023071289062500,0.422370254993439,0.420959472656250
17947,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.002075195312500,0.417176395654678,-0.42,0.418481588363647,0.035614013671875,0.428976029157639,0.470794677734375
17948,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.023712158203125,0.410515993833542,-0.39,0.410555034875870,0.027435302734375,0.415807962417603,0.245513916015625
17949,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.057800292968750,0.410474121570587,-0.35,0.410876840353012,0.039184570312500,0.414189875125885,0.584136962890625
17950,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.040069580078125,0.411444842815399,-0.37,0.411170646548271,0.030258178710938,0.412038981914520,0.267242431640625
17951,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.005310058593750,0.411682873964310,-0.41,0.411521926522255,0.023773193359375,0.415026336908340,0.968200683593750
17953,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.037536621093750,0.410197526216507,-0.37,0.410386428236961,0.032501220703125,0.414148926734924,0.362152099609375
17954,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.006408691406250,0.409961700439453,-0.40,0.410031378269196,0.015319824218750,0.411387532949448,0.373474121093750
17956,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.044921875000000,0.423822492361069,-0.38,0.422415256500244,0.032104492187500,0.727232038974762,1.556793212890625
17957,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.081451416015625,0.410369545221329,-0.33,0.410892680287361,0.121902465820312,0.428357839584351,0.920318603515625
17958,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.012542724609375,0.411409646272659,-0.40,0.412920922040939,0.016357421875000,0.429883599281311,0.188995361328125
17959,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.072937011718750,0.412369340658188,-0.34,0.412438541650772,0.029907226562500,0.421435117721558,0.470489501953125
17960,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.064483642578125,0.410803943872452,-0.35,0.410400718450546,0.020721435546875,0.411497652530670,0.480163574218750
17963,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.023406982421875,0.670904159545898,-0.65,0.506910771131516,0.067642211914062,1.370737433433533,1.078125000000000
17964,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.009460449218750,0.410074859857559,-0.40,0.410116478800774,0.016387939453125,0.417477339506149,0.679901123046875
17966,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.056274414062500,0.413442760705948,-0.36,0.413244336843491,0.026473999023438,0.417179524898529,3.256072998046875
17967,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.016998291015625,0.418634086847305,-0.40,0.416373223066330,0.014343261718750,0.421435117721558,0.338623046875000
17968,0.899566650390625,0.049036559432091,1.573340535163879,Polygon,god,NINFP2110052764,3.096705436706543,403.779174804687443,0.412409231066704,Semi-naturlig,2020.000000000000000,8.000000000000000,0.067657470703125,0.416235864162445,-0.35,0.412420541048050,0.033157348632812,0.420270383358002,0.220031738281250
